ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
7441.0,0.0,194.0,360.0,1.0,0,0,0,0,0,0,1,0,0,0
2583.0,2115.0,120.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
5703.0,0.0,128.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
4945.0,0.0,146.41216216216216,360.0,0.0,1,1,1,0,0,0,0,0,0,0
2873.0,1872.0,132.0,360.0,0.0,1,1,0,1,0,0,0,1,0,0
10171.25,0.0,261.5,360.0,1.0,1,1,0,0,1,0,0,0,1,1
2239.0,2524.0,128.0,360.0,1.0,1,1,1,0,0,1,0,0,1,1
10171.25,0.0,260.0,360.0,1.0,1,1,0,0,0,0,1,0,1,1
2346.0,1600.0,132.0,360.0,1.0,1,0,0,0,0,1,0,1,0,1
3153.0,1560.0,134.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
2600.0,3500.0,115.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
7583.0,0.0,187.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
5849.0,0.0,146.41216216216216,360.0,1.0,1,0,0,0,0,0,0,0,1,1
10171.25,0.0,192.0,360.0,0.0,1,0,0,0,0,0,1,0,1,0
10171.25,0.0,242.0,360.0,0.0,1,0,0,0,0,0,0,1,0,0
4695.0,0.0,96.0,360.0,1.0,1,1,0,0,0,1,1,0,1,1
10171.25,0.0,136.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
5829.0,0.0,138.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
3244.0,0.0,80.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
4166.0,0.0,98.0,360.0,0.0,1,0,0,0,0,0,0,1,0,0
4708.0,1387.0,150.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
1500.0,1800.0,103.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
4616.0,0.0,134.0,360.0,1.0,1,1,0,1,0,0,0,0,1,0
5780.0,0.0,192.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
4166.0,3369.0,201.0,360.0,1.0,1,1,1,0,0,0,0,0,1,0
3340.0,1710.0,150.0,360.0,0.0,1,1,0,1,0,0,0,0,0,0
2378.0,0.0,46.0,360.0,1.0,0,0,0,0,0,0,0,0,0,0
4124.0,0.0,115.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
5000.0,3667.0,236.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
3600.0,0.0,80.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
2500.0,0.0,55.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
6400.0,5743.125,180.0,360.0,0.0,1,1,1,0,0,0,0,0,1,0
2491.0,2054.0,104.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
4692.0,0.0,106.0,360.0,1.0,1,0,1,0,0,0,1,0,0,0
2058.0,2134.0,88.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
4547.0,0.0,115.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
3333.0,0.0,70.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
7100.0,0.0,125.0,360.0,1.0,1,1,0,0,1,1,1,0,1,1
3816.0,754.0,160.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
6383.0,1000.0,187.0,360.0,1.0,1,1,0,1,0,1,1,0,0,0
3083.0,2168.0,126.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
3975.0,2531.0,55.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
3598.0,1287.0,100.0,360.0,1.0,1,0,0,0,0,1,0,0,0,0
2889.0,0.0,45.0,360.0,0.0,1,1,0,1,0,1,0,0,1,0
9083.0,0.0,228.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
7200.0,0.0,120.0,360.0,1.0,0,0,0,0,0,0,0,0,0,1
3410.0,0.0,88.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
7901.0,1833.0,180.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
2237.0,0.0,63.0,360.0,0.0,1,0,0,0,0,0,0,1,0,0
2213.0,0.0,66.0,360.0,1.0,0,0,0,0,0,1,0,0,0,1
2083.0,4083.0,160.0,360.0,1.0,1,1,0,0,0,0,1,1,0,1
6000.0,0.0,205.0,360.0,1.0,1,1,0,1,0,0,1,1,0,0
6033.0,0.0,160.0,360.0,1.0,1,1,0,0,0,1,0,0,1,0
3691.0,0.0,110.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
2645.0,3440.0,120.0,360.0,0.0,0,1,0,0,0,0,0,0,1,0
2149.0,3237.0,178.0,360.0,0.0,0,1,0,0,0,1,0,1,0,0
2726.0,0.0,106.0,360.0,0.0,1,1,0,1,0,0,1,1,0,0
2526.0,1783.0,145.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
3167.0,0.0,74.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
10171.25,0.0,261.5,360.0,1.0,1,1,1,0,0,0,0,0,1,1
8334.0,0.0,160.0,360.0,1.0,1,1,0,0,0,0,0,1,0,0
2935.0,0.0,98.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
4652.0,0.0,110.0,360.0,1.0,1,1,0,1,0,1,0,0,0,1
3237.0,0.0,30.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
5191.0,0.0,132.0,360.0,1.0,0,0,1,0,0,1,0,1,0,1
2679.0,1302.0,94.0,360.0,1.0,1,0,1,0,0,1,0,1,0,1
8333.0,3750.0,187.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
8624.0,0.0,150.0,360.0,1.0,0,0,1,0,0,0,1,1,0,1
3463.0,0.0,122.0,360.0,1.0,0,0,0,0,0,0,1,0,1,1
3750.0,2083.0,120.0,360.0,1.0,0,0,0,1,0,0,0,1,0,1
6045.0,0.0,115.0,360.0,0.0,1,0,0,0,0,1,0,0,0,0
5941.0,4232.0,261.5,360.0,1.0,1,0,0,0,0,0,0,1,0,1
7740.0,0.0,128.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
2167.0,2400.0,115.0,360.0,1.0,1,1,0,0,0,1,0,0,1,1
2653.0,1500.0,113.0,360.0,0.0,1,1,1,0,0,1,0,0,0,0
4625.0,2857.0,111.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
3229.0,2739.0,110.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
3333.0,2500.0,128.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
2400.0,1863.0,104.0,360.0,0.0,0,0,0,0,0,0,0,0,1,0
3814.0,1483.0,124.0,360.0,1.0,1,1,0,0,0,1,0,1,0,1
2366.0,2531.0,136.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
5166.0,0.0,128.0,360.0,1.0,1,0,0,0,0,0,1,1,0,1
2500.0,0.0,67.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
10171.25,0.0,261.5,360.0,1.0,1,1,0,1,0,0,0,0,1,1
150.0,1800.0,135.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
10171.25,1014.0,150.0,360.0,1.0,1,1,0,1,0,0,1,0,0,1
3180.0,0.0,71.0,360.0,0.0,0,0,0,0,0,0,0,0,1,0
2492.0,2375.0,146.41216216216216,360.0,1.0,1,1,1,0,0,1,0,0,0,1
3400.0,2500.0,123.0,360.0,0.0,1,1,0,0,1,0,0,0,0,0
2764.0,1459.0,110.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
4191.0,0.0,120.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
210.0,2917.0,98.0,360.0,1.0,0,1,0,1,0,1,0,1,0,1
10171.25,0.0,261.5,360.0,1.0,1,1,0,0,0,0,0,0,1,1
3358.0,0.0,80.0,360.0,1.0,1,0,0,0,0,1,0,1,0,0
8750.0,4996.0,130.0,360.0,1.0,1,1,0,0,1,0,0,0,0,1
3400.0,2500.0,173.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
2400.0,0.0,75.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
3902.0,1666.0,109.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
3365.0,1917.0,112.0,360.0,0.0,1,1,0,1,0,1,0,0,0,0
2213.0,1125.0,146.41216216216216,360.0,1.0,1,1,0,0,0,0,0,0,1,1
6083.0,4250.0,261.5,360.0,1.0,1,1,1,0,0,0,0,0,1,1
8566.0,0.0,210.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
3717.0,2925.0,151.0,360.0,1.0,1,1,1,0,0,0,0,1,0,0
2600.0,0.0,160.0,360.0,1.0,0,0,1,0,0,0,0,0,1,0
3036.0,2504.0,158.0,360.0,0.0,1,1,0,0,1,0,0,1,0,0
4583.0,0.0,133.0,360.0,0.0,0,0,0,0,0,0,1,1,0,0
4608.0,2845.0,140.0,360.0,1.0,0,1,1,0,0,0,0,1,0,1
2917.0,0.0,84.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
4416.0,1250.0,110.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
10171.25,0.0,146.41216216216216,360.0,1.0,1,1,0,0,0,0,0,0,0,0
4000.0,5743.125,261.5,360.0,1.0,1,1,0,0,1,0,0,1,0,0
1863.0,1041.0,98.0,360.0,1.0,1,1,0,0,0,1,0,1,0,1
1668.0,3890.0,201.0,360.0,0.0,1,1,0,0,0,1,0,1,0,0
3601.0,1590.0,146.41216216216216,360.0,1.0,1,1,0,1,0,1,0,0,0,1
3418.0,0.0,127.0,360.0,1.0,1,0,0,0,0,0,0,1,0,0
5815.0,3666.0,261.5,360.0,1.0,1,0,0,0,0,0,0,0,0,0
2717.0,0.0,60.0,360.0,1.0,1,0,0,0,0,1,0,0,1,1
2799.0,2253.0,122.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
3052.0,1030.0,100.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
2454.0,2333.0,181.0,360.0,0.0,1,1,0,0,0,1,0,0,1,0
3400.0,0.0,95.0,360.0,1.0,0,0,0,0,0,1,0,0,0,0
2130.0,5743.125,70.0,360.0,1.0,1,1,0,0,0,0,0,1,0,0
2383.0,3334.0,172.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
5800.0,0.0,132.0,360.0,1.0,1,0,0,0,0,1,1,1,0,1
10171.25,0.0,261.5,360.0,1.0,1,0,0,0,0,0,0,0,0,0
9167.0,0.0,185.0,360.0,1.0,1,0,0,0,1,0,0,0,0,1
3727.0,1775.0,131.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
5000.0,2541.0,151.0,360.0,1.0,0,0,0,0,0,0,0,0,0,0
1025.0,5500.0,216.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
5250.0,0.0,94.0,360.0,1.0,1,1,0,0,1,0,0,0,1,0
5649.0,0.0,44.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
4301.0,0.0,118.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
2894.0,2792.0,155.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
4895.0,0.0,102.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
1538.0,1425.0,30.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
3716.0,0.0,42.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
3941.0,2336.0,134.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
1625.0,1803.0,96.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
2667.0,1625.0,84.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
3588.0,0.0,110.0,360.0,0.0,1,0,0,1,0,0,0,0,0,0
3166.0,2064.0,104.0,360.0,0.0,1,1,0,0,0,0,0,0,1,0
10000.0,0.0,214.0,360.0,1.0,0,0,0,0,0,0,0,1,0,0
4554.0,1229.0,158.0,360.0,1.0,1,1,1,0,0,1,0,0,1,1
4583.0,2083.0,160.0,360.0,1.0,1,1,0,1,0,0,1,1,0,1
4050.0,5302.0,138.0,360.0,1.0,1,1,1,0,0,1,0,0,0,0
3087.0,2210.0,136.0,360.0,0.0,1,1,0,0,0,0,0,1,0,0
3073.0,5743.125,200.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
4887.0,0.0,133.0,360.0,1.0,1,1,0,0,0,1,0,0,0,0
4917.0,0.0,130.0,360.0,0.0,1,0,0,0,0,0,0,0,0,1
4885.0,0.0,48.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
2214.0,1398.0,85.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
5677.0,1424.0,100.0,360.0,1.0,1,1,0,0,1,0,1,0,0,1
3992.0,0.0,146.41216216216216,360.0,1.0,1,1,0,0,1,1,0,0,1,0
3166.0,2985.0,132.0,360.0,1.0,0,0,0,0,0,0,0,0,0,1
3750.0,0.0,100.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
10171.25,0.0,261.5,360.0,1.0,0,1,1,0,0,0,1,1,0,1
1907.0,2365.0,120.0,360.0,1.0,0,0,0,0,0,1,0,0,1,1
3593.0,4266.0,132.0,360.0,0.0,1,1,0,0,0,0,0,0,0,0
2666.0,2083.0,95.0,360.0,1.0,1,1,0,0,1,0,0,0,0,1
3750.0,4750.0,176.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
8300.0,0.0,152.0,360.0,0.0,1,1,1,0,0,0,0,1,0,0
4817.0,923.0,120.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
3948.0,1733.0,149.0,360.0,0.0,1,1,0,0,0,0,0,0,0,0
2060.0,2209.0,134.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
2281.0,0.0,113.0,360.0,1.0,1,1,0,1,0,1,0,0,0,0
4843.0,3806.0,151.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
3927.0,800.0,112.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
10171.25,0.0,196.0,360.0,1.0,1,0,1,0,0,0,0,1,0,0
4583.0,1508.0,128.0,360.0,1.0,1,1,1,0,0,0,0,0,0,0
6283.0,4416.0,209.0,360.0,0.0,1,0,0,0,0,0,0,0,0,0
4300.0,0.0,136.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
10171.25,0.0,261.5,360.0,1.0,1,1,0,1,0,0,1,0,0,1
5250.0,688.0,160.0,360.0,1.0,1,1,1,0,0,0,0,0,0,1
1800.0,1213.0,47.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
4288.0,3263.0,133.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
2929.0,2333.0,139.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
3316.0,3500.0,88.0,360.0,1.0,1,1,0,1,0,0,1,0,1,1
2031.0,1632.0,113.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1
4707.0,1993.0,148.0,360.0,1.0,1,0,0,0,1,1,0,1,0,1
6277.0,0.0,118.0,360.0,0.0,1,0,0,0,0,0,0,0,0,0
4160.0,0.0,71.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
3800.0,3600.0,216.0,360.0,0.0,1,1,0,1,0,0,0,0,1,0
3326.0,913.0,105.0,360.0,1.0,0,1,1,0,0,0,0,1,0,1
3315.0,0.0,96.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
2333.0,1516.0,95.0,360.0,1.0,1,1,0,0,0,1,0,0,1,1
3652.0,0.0,95.0,360.0,1.0,0,0,1,0,0,0,0,1,0,1
4100.0,0.0,124.0,360.0,1.0,0,1,0,0,0,1,0,0,0,1
4931.0,0.0,128.0,360.0,1.0,1,1,0,0,1,1,0,1,0,0
2600.0,1700.0,107.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
3833.0,0.0,110.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
4354.0,0.0,136.0,360.0,1.0,1,0,0,1,0,0,0,0,0,1
5708.0,5625.0,187.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
3158.0,3053.0,89.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
2768.0,1950.0,155.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
3717.0,0.0,120.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
5746.0,0.0,144.0,360.0,1.0,1,1,0,1,0,0,1,0,0,1
3250.0,0.0,170.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
2221.0,0.0,60.0,360.0,0.0,1,1,0,0,0,0,0,0,1,0
6875.0,0.0,200.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
9323.0,5743.125,261.5,360.0,1.0,1,1,0,1,0,0,1,0,0,1
2383.0,2138.0,58.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
5417.0,0.0,168.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
8799.0,0.0,258.0,360.0,0.0,1,1,0,1,0,0,0,0,1,0
3333.0,2166.0,130.0,360.0,1.0,1,1,0,0,1,1,1,1,0,1
2833.0,1857.0,126.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
2958.0,2900.0,131.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
2917.0,536.0,66.0,360.0,1.0,1,1,0,0,0,1,0,0,0,0
5667.0,2667.0,180.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
10171.25,0.0,152.0,360.0,1.0,1,0,1,0,0,0,0,1,0,1
3676.0,4301.0,172.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
5955.0,5625.0,261.5,360.0,1.0,1,1,1,0,0,0,0,0,1,1
4283.0,3000.0,172.0,360.0,1.0,1,1,1,0,0,0,0,0,0,0
3357.0,2859.0,144.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
4384.0,1793.0,117.0,360.0,1.0,1,0,1,0,0,0,0,0,1,1
6096.0,0.0,218.0,360.0,0.0,1,1,0,0,0,1,0,0,0,0
2165.0,0.0,70.0,360.0,1.0,0,0,0,0,0,1,0,1,0,1
5488.0,0.0,125.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
6417.0,0.0,157.0,360.0,1.0,1,1,0,0,1,0,0,0,0,1
3103.0,1300.0,80.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
3366.0,2200.0,135.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
2833.0,0.0,71.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
10171.25,0.0,261.5,360.0,1.0,1,1,0,0,1,0,0,0,0,1
4167.0,1447.0,158.0,360.0,1.0,1,1,0,1,0,0,0,0,0,1
2720.0,0.0,80.0,360.0,0.0,0,0,0,0,0,1,0,0,1,0
2425.0,2340.0,143.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
3481.0,0.0,155.0,360.0,1.0,0,0,1,0,0,0,0,1,0,0
4467.0,0.0,120.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
6080.0,2569.0,182.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
2395.0,0.0,146.41216216216216,360.0,1.0,1,1,1,0,0,0,1,1,0,1
9963.0,0.0,180.0,360.0,1.0,1,1,0,0,0,0,1,0,0,1
4283.0,2383.0,127.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1
3708.0,2569.0,173.0,360.0,1.0,1,1,0,0,0,0,0,0,1,0
2333.0,2417.0,136.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
5468.0,1032.0,26.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
3427.0,0.0,138.0,360.0,1.0,0,0,0,1,0,0,0,0,1,0
3547.0,0.0,80.0,360.0,0.0,1,0,0,1,0,0,0,0,0,0
4566.0,0.0,100.0,360.0,1.0,1,1,0,1,0,0,0,0,1,0
5500.0,0.0,105.0,360.0,0.0,0,1,0,0,0,0,1,0,0,0
4226.0,1040.0,110.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
1993.0,1625.0,113.0,360.0,1.0,1,1,0,1,0,1,0,1,0,1
3406.0,4417.0,123.0,360.0,1.0,1,1,0,0,0,1,0,1,0,1
4200.0,1430.0,129.0,360.0,1.0,1,1,0,1,0,1,0,0,0,0
2253.0,2033.0,110.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
7085.0,0.0,84.0,360.0,1.0,1,0,0,0,0,0,1,1,0,1
